Product_ID,Product_Name,Category,Unit_Cost,Selling_Price
PROD-101,Bamboo Facial Tissues (Pack of 12),Bamboo Tissues,180,324
PROD-102,Reusable Bamboo Kitchen Towel (20 Sheets),Bamboo Tissues,210,350
PROD-103,Natural Dishwash Liquid (750ml),Home Cleaners,110,199
PROD-104,Max Kitchen Cleaner Spray,Home Cleaners,160,299
PROD-105,Max Tap & Shower Cleaner,Home Cleaners,150,289
PROD-106,Natural Floor Cleaner Liquid (1 Litre),Home Cleaners,130,246
PROD-107,Laundry Cleaner Liquid Refill - Front Load (1L),Laundry Care,125,225
PROD-108,Instant Stain Remover Wipes (20 Sachets),Laundry Care,220,400
PROD-109,Foaming Handwash Refill (700ml),Personal Care,110,199
PROD-110,Bamboo Toothbrush (Pack of 4),Personal Care,190,360
PROD-111,Biofriendly Garbage Bags Medium (Pack of 4),Waste Management,200,360
PROD-112,Biofriendly Garbage Bags Small (Pack of 4),Waste Management,150,280
